observed_on,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-08-09,12.9697516667,77.686315,Corvus splendens,House Crow,Aves
2025-08-09,12.8548985552,77.6952947481,Milvus migrans,Black Kite,Aves
2025-08-09,12.9746594443,77.6891340315,Copsychus fulicatus,Indian Robin,Aves
2025-08-09,12.8552228131,77.6961423266,Microcarbo niger,Little Cormorant,Aves
2025-08-09,12.7534716667,77.3024333333,Circaetus gallicus,Short-toed Snake-Eagle,Aves
2025-08-09,12.8553797119,77.6959706644,Mycteria leucocephala,Painted Stork,Aves
2025-08-09,12.854187279,77.6953805796,Psammophilus dorsalis,Rock Dragon,Reptilia
2025-08-09,12.8551286737,77.6960994112,Spilopelia chinensis,Spotted Dove,Aves
2025-08-09,12.855081,77.6964663,Ardea cinerea,Grey Heron,Aves
2025-08-09,12.8552751126,77.6959062926,Anhinga melanogaster,Oriental Darter,Aves
2025-08-09,12.855081,77.6964663,Phalacrocorax fuscicollis,Indian Cormorant,Aves
2025-08-09,12.855081,77.6964663,Tachybaptus ruficollis,Little Grebe,Aves
2025-08-09,12.5966548816,75.6635491861,Rhacophorus lateralis,winged gliding frog,Amphibia
2025-08-03,13.4240173,77.6163803,Petrochelidon fluvicola,Streak-throated Swallow,Aves
2025-08-03,13.4240173,77.6163803,Apus affinis,Little Swift,Aves
2025-08-03,13.4240173,77.6163803,Apus affinis,Little Swift,Aves
2025-08-03,13.4240173,77.6163803,Pernis ptilorhynchus,Oriental Honey-buzzard,Aves
2025-08-02,12.9299845,77.4653272,Microcarbo niger,Little Cormorant,Aves
2025-08-02,12.9299845,77.4653272,Anhinga melanogaster,Oriental Darter,Aves
2025-08-02,12.9299845,77.4653272,Anhinga melanogaster,Oriental Darter,Aves
2025-08-02,12.9299845,77.4653272,Ardea cinerea,Grey Heron,Aves
2025-08-02,12.9299845,77.4653272,Phalacrocorax carbo,Great Cormorant,Aves
2025-08-02,12.9299845,77.4653272,Mycteria leucocephala,Painted Stork,Aves
2025-08-02,12.9299845,77.4653272,Gallinula chloropus,Common Moorhen,Aves
2025-08-02,12.9299845,77.4653272,Fulica atra,Eurasian Coot,Aves
2025-08-02,12.9299845,77.4653272,Metopidius indicus,Bronze-winged Jacana,Aves
2025-08-02,12.9299845,77.4653272,Fulica atra,Eurasian Coot,Aves
2025-08-02,12.9299845,77.4653272,Anhinga melanogaster,Oriental Darter,Aves
2025-08-02,12.9299845,77.4653272,Porphyrio poliocephalus,Gray-headed Swamphen,Aves
2025-08-02,12.9299845,77.4653272,Nycticorax nycticorax,Black-crowned Night Heron,Aves
